hour,latitude,longitude,temperature
0,-92746.96549099142,645762.4179625742,19.548387096774192
1,-92746.96549099142,645762.4179625742,18.70967741935484
2,-92746.96549099142,645762.4179625742,18.225806451612904
3,-92746.96549099142,645762.4179625742,17.93548387096774
4,-92746.96549099142,645762.4179625742,17.548387096774192
5,-92746.96549099142,645762.4179625742,17.387096774193548
6,-92746.96549099142,645762.4179625742,17.677419354838708
7,-92746.96549099142,645762.4179625742,18.806451612903224
8,-92746.96549099142,645762.4179625742,20.516129032258064
9,-92746.96549099142,645762.4179625742,22.193548387096776
10,-92746.96549099142,645762.4179625742,24.096774193548388
11,-92746.96549099142,645762.4179625742,26.741935483870968
12,-92746.96549099142,645762.4179625742,28.387096774193548
13,-92746.96549099142,645762.4179625742,28.93548387096774
14,-92746.96549099142,645762.4179625742,29.387096774193548
15,-92746.96549099142,645762.4179625742,29.967741935483872
16,-92746.96549099142,645762.4179625742,29.612903225806452
17,-92746.96549099142,645762.4179625742,28.93548387096774
18,-92746.96549099142,645762.4179625742,27.451612903225808
19,-92746.96549099142,645762.4179625742,25.35483870967742
20,-92746.96549099142,645762.4179625742,23.516129032258064
21,-92746.96549099142,645762.4179625742,21.903225806451612
22,-92746.96549099142,645762.4179625742,20.870967741935484
23,-92746.96549099142,645762.4179625742,20.193548387096776
0,-90896.65617870173,645510.170209044,19.032258064516128
1,-90896.65617870173,645510.170209044,18.129032258064516
2,-90896.65617870173,645510.170209044,17.741935483870968
3,-90896.65617870173,645510.170209044,17.387096774193548
4,-90896.65617870173,645510.170209044,17.193548387096776
5,-90896.65617870173,645510.170209044,17.032258064516128
6,-90896.65617870173,645510.170209044,17.35483870967742
7,-90896.65617870173,645510.170209044,19.580645161290324
8,-90896.65617870173,645510.170209044,21.483870967741936
9,-90896.65617870173,645510.170209044,23.129032258064516
10,-90896.65617870173,645510.170209044,24.387096774193548
11,-90896.65617870173,645510.170209044,25.64516129032258
12,-90896.65617870173,645510.170209044,26.483870967741936
13,-90896.65617870173,645510.170209044,26.838709677419356
14,-90896.65617870173,645510.170209044,27.032258064516128
15,-90896.65617870173,645510.170209044,27.322580645161292
16,-90896.65617870173,645510.170209044,27.06451612903226
17,-90896.65617870173,645510.170209044,26.774193548387096
18,-90896.65617870173,645510.170209044,26.032258064516128
19,-90896.65617870173,645510.170209044,25.0
20,-90896.65617870173,645510.170209044,23.096774193548388
21,-90896.65617870173,645510.170209044,21.29032258064516
22,-90896.65617870173,645510.170209044,20.35483870967742
23,-90896.65617870173,645510.170209044,19.516129032258064
0,-90119.22539615234,645423.2755265934,19.806451612903224
1,-90119.22539615234,645423.2755265934,19.06451612903226
2,-90119.22539615234,645423.2755265934,18.516129032258064
3,-90119.22539615234,645423.2755265934,18.129032258064516
4,-90119.22539615234,645423.2755265934,17.903225806451612
5,-90119.22539615234,645423.2755265934,17.806451612903224
6,-90119.22539615234,645423.2755265934,18.06451612903226
7,-90119.22539615234,645423.2755265934,19.225806451612904
8,-90119.22539615234,645423.2755265934,20.93548387096774
9,-90119.22539615234,645423.2755265934,22.838709677419356
10,-90119.22539615234,645423.2755265934,24.387096774193548
11,-90119.22539615234,645423.2755265934,25.677419354838708
12,-90119.22539615234,645423.2755265934,26.612903225806452
13,-90119.22539615234,645423.2755265934,27.096774193548388
14,-90119.22539615234,645423.2755265934,26.967741935483872
15,-90119.22539615234,645423.2755265934,27.225806451612904
16,-90119.22539615234,645423.2755265934,26.870967741935484
17,-90119.22539615234,645423.2755265934,26.451612903225808
18,-90119.22539615234,645423.2755265934,25.580645161290324
19,-90119.22539615234,645423.2755265934,24.870967741935484
20,-90119.22539615234,645423.2755265934,23.419354838709676
