hour,old_temperature
0,20.120466838406937
1,19.502001364509518
2,18.776503810275578
3,18.284234165303477
4,17.97956079603704
5,17.76963280841438
6,18.34009742297788
7,19.883784814196606
8,21.544314500970632
9,23.233800856937926
10,24.74836503620405
11,25.769006319995
12,26.471739171679477
13,27.19279335355499
14,27.6363231970377
15,27.576992236277036
16,27.425807937836154
17,27.09098317750883
18,26.450587656047258
19,25.379854398419265
20,23.765720188214473
21,22.30481308909964
22,21.394793684710887
23,20.78018272932658
