hour,old_temperature
0,19.839075080705406
1,19.117810072090247
2,18.550514066021023
3,18.16840371007774
4,17.892514469839536
5,17.687275599607645
6,18.017782885100292
7,19.42777874445393
8,21.091292126521733
9,22.552969974125187
10,23.82232122244243
11,25.066896813237296
12,26.06178278863128
13,26.613161866484376
14,26.863994761463907
15,27.11125650243307
16,27.034358044178493
17,26.723848867381513
18,26.064106292490923
19,25.028328613069938
20,23.440494392749887
21,22.06608836186973
22,21.14477737441277
23,20.411307634749406
